-	ー
{	『
}	』

z,	‥
z.	…
z/	・
z-	〜
z[	『
z]	』
zh	←
zj	↓
zk	↑
zl	→

www	w	ww

a	あ
i	い
u	う
e	え
o	お

ka	か
ki	き
ku	く
ke	け
ko	こ

sa	さ
si	し
su	す
se	せ
so	そ

ta	た
ti	ち
tu	つ
te	て
to	と

na	な
ni	に
nu	ぬ
ne	ね
no	の

ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ

ma	ま
mi	み
mu	む
me	め
mo	も

ya	や
yu	ゆ
ye	いぇ
yo	よ

ra	ら
ri	り
ru	る
re	れ
ro	ろ

wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を

wyi	ゐ
wye	ゑ

n'	ん
nn	ん
xn	ん

ca	か
ci	し
cu	く
ce	せ
co	こ

ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご

za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ

da	だ
di	ぢ
du	づ
de	で
do	ど

ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ

pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ

la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ

xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ

lyi	ぃ
lye	ぇ

xyi	ぃ
xye	ぇ

lya	ゃ
lyu	ゅ
lyo	ょ

xya	ゃ
xyu	ゅ
xyo	ょ

lwa	ゎ
xwa	ゎ

lka	ヵ
lke	ヶ

xka	ヵ
xke	ヶ

ltu	っ
ltsu	っ

xtu	っ
xtsu	っ

bb	っ	b
cc	っ	c
dd	っ	d
ff	っ	f
gg	っ	g
hh	っ	h
jj	っ	j
kk	っ	k
ll	っ	l
mm	っ	m
pp	っ	p
qq	っ	q
rr	っ	r
ss	っ	s
tch	っ	ch
tt	っ	t
vv	っ	v
ww	っ	w
xx	っ	x
yy	っ	y
zz	っ	z

kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ

sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ

sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ

tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ

cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ

cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ

nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ

hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ

mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ

rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ

gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ

zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ

ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ

jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ

dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ

bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ

pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ

wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ

va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ

vya	ゔゃ
vyi	ゔぃ
vyu	ゔゅ
vye	ゔぇ
vyo	ゔょ

kwa	くぁ
kwi	くぃ
kwu	くぅ
kwe	くぇ
kwo	くぉ

qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ

gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ

swa	すぁ
swi	すぃ
swu	すぅ
swe	すぇ
swo	すぉ

zwa	ずぁ
zwi	ずぃ
zwu	ずぅ
zwe	ずぇ
zwo	ずぉ

tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ

tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ

dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ

t'i	てぃ
d'i	でぃ

t'yu	てゅ
d'yu	でゅ

twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ

dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ

t'u	とぅ
d'u	どぅ

hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ

hwyu	ふゅ

fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ

fya	ふゃ
fyu	ふゅ
fyo	ふょ
