{	『
}	』
/	/
'	ー
"	・
sj	ー

\[	［
\]	］
\{	【
\}	】
\(	〈
\)	〉
\y	─
\u	—
\i	……
\o	:
\p	~
\h	│
\j	↓
\k	…
\l	→
\;	–
\:	:
\'	◇
\"	◆
\n	×
\m	　
\,	,
\.	.
\<	<
\>	>
\/	/
\?	?

dd		d
kk		k
ss		s
ll		l

d'		d
k'		k
s'		s
l'		l
sy		s

ka	あ
;	い
m	う
do	え
kf	お

a	か
h	き
n	く
ks	け
z	こ

kg	さ
i	し
kd	す
ls	せ
lg	そ

v	た
dk	ち
dj	つ
r	て
o	と

f	な
w	に
dn	ぬ
kv	ね
p	の

e	は
dh	ひ
lv	ふ
kt	へ
kr	ほ

d;	ま
dm	み
sm	む
sk	め
q	も

kz	や
kx	ゆ
kb	よ

la	ら
sl	り
g	る
y	れ
lf	ろ

ld	わ
s;	を
j	ん

x	が
sh	ぎ
sn	ぐ
lc	げ
kq	ご

lb	ざ
dl	じ
sp	ず
kc	ぜ
lt	ぞ

c	だ
s/	ぢ
kw	づ
t	で
lr	ど

so	ば
lz	び
di	ぶ
lq	べ
ke	ぼ

su	ぱ
d/	ぴ
du	ぷ
d,	ぺ
si	ぽ

s,	ヴ

dp	ゃ
d.	ゅ
b	ょ

le	ぁ
lw	ぃ
s.	ぅ
lx	ぇ
dy	ぉ

u	っ
