{	『
}	』
/	。
'	ー
"	・
dd	、
kk	。
dl	ー

\[	［
\]	］
\{	【
\}	】
\(	〈
\)	〉
\y	─
\u	—
\i	……
\o	:
\p	~
\h	│
\j	↓
\k	…
\l	→
\;	–
\:	:
\'	◇
\"	◆
\n	×
\m	　
\,	,
\.	.
\<	<
\>	>
\/	/
\?	?

d		d
k		k

dw		d
dc		d
d'		d
ky		k
k'		k

kg	あ
l	い
m	う
ko	え
kl	お

s	か
p	き
h	く
kd	け
q	こ

ds	さ
i	し
v	す
ks	せ
kr	そ

g	た
km	ち
kj	つ
r	て
;	と

f	な
w	に
dy	ぬ
kv	ね
o	の

e	は
dh	ひ
kz	ふ
kt	へ
ke	ほ

c	ま
kn	み
dm	む
dk	め
t	も

kp	や
dv	ゆ
kb	よ

.	ら
y	り
n	る
,	れ
k;	ろ

ka	わ
dj	を
j	ん

x	が
d,	ぎ
d.	ぐ
di	げ
kc	ご

kx	ざ
do	じ
dn	ず
dg	ぜ
dx	ぞ

z	だ
de	ぢ
dq	づ
a	で
kf	ど

da	ば
kh	び
d;	ぶ
kq	べ
kw	ぼ

du	ぱ
dz	ぴ
dr	ぷ
ku	ぺ
d/	ぽ

db	ヴ

dp	ゃ
df	ゅ
b	ょ

k/	ぁ
k.	ぃ
dt	ぅ
ki	ぇ
k,	ぉ

u	っ
