# AZIK (US)

# 仮名範囲外 {{{

{	『
}	』
-	-

# }}}

# 基本の仮名 {{{

# -- 清音 {{{

a	あ
i	い
u	う
e	え
o	お

ka	か
ki	き
ku	く
ke	け
ko	こ

sa	さ
si	し
su	す
se	せ
so	そ

ta	た
ti	ち
tu	つ
te	て
to	と

na	な
ni	に
nu	ぬ
ne	ね
no	の

ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ

ma	ま
mi	み
mu	む
me	め
mo	も

ya	や
yi	い
yu	ゆ
ye	いぇ
yo	よ

ra	ら
ri	り
ru	る
re	れ
ro	ろ

wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を

# }}}

# -- 濁音・半濁音 {{{

ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご

za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ

da	だ
di	ぢ
du	づ
de	で
do	ど

ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ

pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ

# }}}

# -- 拗音 {{{

kya	きゃ
kyu	きゅ
kye	きぇ
kyo	きょ

sya	しゃ
syu	しゅ
sye	しぇ
syo	しょ

xa	しゃ
xu	しゅ
xe	しぇ
xo	しょ

tya	ちゃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ

ca	ちゃ
cu	ちゅ
ce	ちぇ
co	ちょ

nya	にゃ
nyu	にゅ
nye	にぇ
nyo	にょ

hya	ひゃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ

mya	みゃ
myu	みゅ
mye	みぇ
myo	みょ

rya	りゃ
ryu	りゅ
rye	りぇ
ryo	りょ

gya	ぎゃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ

zya	じゃ
zyu	じゅ
zye	じぇ
zyo	じょ

ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ

dya	ぢゃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ

bya	びゃ
byu	びゅ
bye	びぇ
byo	びょ

pya	ぴゃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ

# }}}

# -- 拗音互換 {{{

kga	きゃ
kgu	きゅ
kge	きぇ
kgo	きょ

nga	にゃ
ngu	にゅ
nge	にぇ
ngo	にょ

hga	ひゃ
hgu	ひゅ
hge	ひぇ
hgo	ひょ

mga	みゃ
mgu	みゅ
mge	みぇ
mgo	みょ

dga	ぢゃ
dgu	ぢゅ
dge	ぢぇ
dgo	ぢょ

pga	ぴゃ
pgu	ぴゅ
pge	ぴぇ
pgo	ぴょ

# }}}

# -- 外来音 {{{

fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ

va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ

# }}}

# -- 捨て仮名 {{{

la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ

lya	ゃ
lyu	ゅ
lyo	ょ

lwa	ゎ

lka	ヵ
lke	ヶ

# }}}

# -- 促音・撥音・長音符 {{{

;	っ
q	ん
nn	ん
