# 記号 -------------------------------------------

{	『
}	』
,	、
'	。
dl	ー
d'	/
"	・

# 記号拡張 ---------------------------------------

\y	─
\u	—
\i	……
\o	:
\p	~
\h	│
\j	↓
\k	…
\l	→
\;	:
\:	–
\'	◆
\"	◇
\n	×
\m	　
\,	,
\.	.
\<	<
\>	>
\/	/
\?	?
\[	［
\]	］
\{	【
\}	】
\(	〈
\)	〉
\\	\

# シフトキー -------------------------------------

dd		d
dw		d
dc		d
kk		k
ky		k
k'		k

# 清音 -------------------------------------------

kg	あ
l	い
m	う
ko	え
kl	お

s	か
p	き
h	く
kd	け
q	こ

ds	さ
i	し
v	す
ks	せ
kr	そ

g	た
km	ち
kj	つ
r	て
;	と

f	な
w	に
dy	ぬ
kv	ね
o	の

e	は
dh	ひ
kz	ふ
kt	へ
ke	ほ

c	ま
kn	み
dm	む
dk	め
t	も

kp	や
dv	ゆ
kb	よ

/	ら
y	り
n	る
.	れ
k;	ろ

ka	わ
dj	を
j	ん

# 濁音・半濁音 -----------------------------------

x	が
d,	ぎ
d.	ぐ
di	げ
kc	ご

kx	ざ
do	じ
dn	ず
dg	ぜ
dx	ぞ

z	だ
de	ぢ
dq	づ
a	で
kf	ど

da	ば
kh	び
d;	ぶ
kq	べ
kw	ぼ

du	ぱ
dz	ぴ
dr	ぷ
ku	ぺ
d/	ぽ

db	ゔ

# 捨て仮名 ---------------------------------------

k/	ぁ
k.	ぃ
dt	ぅ
ki	ぇ
k,	ぉ

u	っ

dp	ゃ
df	ゅ
b	ょ
