# 記号 -------------------------------------------

{	『
}	』
/	/
'	ー
"	・
q	ー

# 記号拡張 ---------------------------------------

\y	─
\u	—
\i	……
\o	:
\p	~
\h	│
\j	↓
\k	…
\l	→
\;	:
\:	–
\'	◆
\"	◇
\n	×
\m	　
\,	,
\.	.
\<	<
\>	>
\/	/
\?	?
\[	［
\]	］
\{	【
\}	】
\(	〈
\)	〉
\\	\

# 清音 -------------------------------------------

a	あ
i	い
u	う
e	え
o	お

ka	か
ki	き
ku	く
ke	け
ko	こ

sa	さ
si	し
su	す
se	せ
so	そ

ta	た
ti	ち
tu	つ
te	て
to	と

na	な
ni	に
nu	ぬ
ne	ね
no	の

ha	は
hi	ひ
hu	ふ
he	へ
ho	ほ

ma	ま
mi	み
mu	む
me	め
mo	も

ya	や
yi	ゐ
yu	ゆ
ye	ゑ
yo	よ

ra	ら
ri	り
ru	る
re	れ
ro	ろ

wa	わ
wi	うぃ
wu	う
we	うぇ
wo	を

# 濁音・半濁音 -----------------------------------

ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご

za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ

da	だ
di	ぢ
du	づ
de	で
do	ど

ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ

pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ

# 捨て仮名 ---------------------------------------

xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ

la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ

xya	ゃ
xyu	ゅ
xyo	ょ

lya	ゃ
lyu	ゅ
lyo	ょ

xwa	ゎ
xka	ヵ
xke	ヶ

lwa	ゎ
lka	ヵ
lke	ヶ

# 促音 -------------------------------------------

xtu	っ
xtsu	っ
ltu	っ
ltsu	っ
;	っ

kk	っ	k
ss	っ	s
tt	っ	t
# nn	っ	n
hh	っ	h
mm	っ	m
yy	っ	y
rr	っ	r
ww	っ	w
gg	っ	g
zz	っ	z
dd	っ	d
bb	っ	b
pp	っ	p
cc	っ	c
ff	っ	f
vv	っ	v
jj	っ	j
xx	っ	x
ll	っ	l

# 撥音 -------------------------------------------

n'	ん
nn	ん
xn	ん

nk	ん	k
ns	ん	s
nt	ん	t
# nn	ん	n
nh	ん	h
nm	ん	m
# ny	ん	y
nr	ん	r
nw	ん	w
ng	ん	g
nz	ん	z
nd	ん	d
nb	ん	b
np	ん	p
nc	ん	c
nf	ん	f
nv	ん	v
nj	ん	j
nx	ん	x
nl	ん	l

# 拗音 -------------------------------------------

kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ

sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ

sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ

tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ

cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ

nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ

hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ

mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ

rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ

gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ

zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ

ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ

dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ

bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ

pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ

# 外来音 -----------------------------------------

wha	うぁ
whi	うぃ
whu	うぅ
whe	うぇ
who	うぉ

kwa	くぁ
kwi	くぃ
kwu	くぅ
kwe	くぇ
kwo	くぉ

swa	すぁ
swi	すぃ
swu	すぅ
swe	すぇ
swo	すぉ

tsa	つぁ
tsi	つぃ
tsu	つ
tse	つぇ
tso	つぉ

tha	てゃ
thi	てぃ
thu	てゅ
the	てぇ
tho	てょ

twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ

fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ

fya	ふゃ
fyi	ふぃ
fyu	ふゅ
fye	ふぇ
fyo	ふょ

va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ

vya	ゔゃ
vyi	ゔぃ
vyu	ゔゅ
vye	ゔぇ
vyo	ゔょ

gwa	ぐぁ
gwi	ぐぃ
gwu	ぐぅ
gwe	ぐぇ
gwo	ぐぉ

zwa	ずぁ
zwi	ずぃ
zwu	ずぅ
zwe	ずぇ
zwo	ずぉ

dsa	づぁ
dsi	づぃ
dsu	づ
dse	づぇ
dso	づぉ

dha	でゃ
dhi	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ

dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
