# ミズナラ配列 v1.0
#
# -- ベース
#
# もにはてで　れっしとの
# か◆◇なる　きん◇◆い
# こがだたょ　くう、。＿
#
#
# -- 中指シフト
#
# ごづぼほへ　ぉぷぶえゃ
# あけすおさ　ひつちじま
# やゆぜねよ　ぬみぺゅぴ
#
#
# -- 薬指シフト
#
# べぃぁどぞ　＿ぱぽばず
# らせわろそ　ぎーめりを
# びぇげふざ　ぐむヴぅぢ

# 仮名範囲外 -------------------------------------

{	『
}	』

# ベース -----------------------------------------

q	も
w	に
e	は
r	て
t	で

y	れ
u	っ
i	し
o	と
p	の

a	か
s		s
d		d
f	な
g	る

h	き
j	ん
k		k
l		l
;	い

z	こ
x	が
c	だ
v	た
b	ょ

n	く
m	う
,	、
.	。
/	・

# 中指シフト -------------------------------------

kq	ご
kw	づ
ke	ぼ
kr	ほ
kt	へ

dy	ぉ
du	ぷ
di	ぶ
do	え
dp	ゃ

ka	あ
ks	け
kd	す
kf	お
kg	さ

dh	ひ
dj	つ
dk	ち
dl	じ
d;	ま

kz	や
kx	ゆ
kc	ぜ
kv	ね
kb	よ

dn	ぬ
dm	み
d,	ぺ
d.	ゅ
d/	ぴ

# 薬指シフト -------------------------------------

lq	べ
lw	ぃ
le	ぁ
lr	ど
lt	ぞ

sy		s
su	ぱ
si	ぽ
so	ば
sp	ず

la	ら
ls	せ
ld	わ
lf	ろ
lg	そ

sh	ぎ
sj	ー
sk	め
sl	り
s;	を

lz	び
lx	ぇ
lc	げ
lv	ふ
lb	ざ

sn	ぐ
sm	む
s,	ゔ
s.	ぅ
s/	ぢ
