# 新下駄配列（改）

# ベース -----------------------------------------

1		1
2		2
3		3
4		4
5		5

6		6
7		7
8		8
9		9
0		0

q		ー
w		に
e		は
r		、
t		ち

y		ぐ
u		ば
i		こ
o		が
p		ひ

a		の
s		と
d		か
f		ん
g		っ

h		く
j		う
k		い
l		し
;		な

z		す
x		ま
c		き
v		る
b		つ

n		て
m		た
,		で
.		。
/		ぶ

'		げ

# ベース（一定時間後に確定）----------------------

1{!}	1
2{!}	2
3{!}	3
4{!}	4
5{!}	5

6{!}	6
7{!}	7
8{!}	8
9{!}	9
0{!}	0

ー{!}	ー
に{!}	に
は{!}	は
、{!}	、
ち{!}	ち

ぐ{!}	ぐ
ば{!}	ば
こ{!}	こ
が{!}	が
ひ{!}	ひ

の{!}	の
と{!}	と
か{!}	か
ん{!}	ん
っ{!}	っ

く{!}	く
う{!}	う
い{!}	い
し{!}	し
な{!}	な

す{!}	す
ま{!}	ま
き{!}	き
る{!}	る
つ{!}	つ

て{!}	て
た{!}	た
で{!}	で
。{!}	。
ぶ{!}	ぶ

げ{!}	げ

# 中指シフト -------------------------------------

い1	ぁ
い2	ぃ
い3	ぅ
い4	ぇ
い5	ぉ

か6	か6
か7	,
か8	;
か9	「
か0	」

いq	ふぁ
いw	ご
いe	ふ
いr	ふぃ
いt	ふぇ

かy	うぃ
かu	ぱ
かi	よ
かo	み
かp	うぇ

いa	ほ
いs	じ
いd	れ
いf	も
いg	ゆ

かh	へ
かj	あ
かk	れ
かl	お
か;	え

いz	づ
いx	ぞ
いc	ぼ
いv	む
いb	ふぉ

かn	せ
かm	ね
か,	べ
か.	ぷ
か/	ヴ

か'	うぉ

# 中指シフト（逆）--------------------------------

1k	ぁ
2k	ぃ
3k	ぅ
4k	ぇ
5k	ぉ

6d	6か
7d	,
8d	;
9d	「
0d	」

ーk	ふぁ
にk	ご
はk	ふ
、k	ふぃ
ちk	ふぇ

ぐd	うぃ
ばd	ぱ
こd	よ
がd	み
ひd	うぇ

のk	ほ
とk	じ
かk	れ
んk	も
っk	ゆ

くd	へ
うd	あ
いd	れ
しd	お
なd	え

すk	づ
まk	ぞ
きk	ぼ
るk	む
つk	ふぉ

てd	せ
たd	ね
でd	べ
。d	ぷ
ぶd	ヴ

げd	うぉ

# 薬指シフト -------------------------------------

し1	ゃ
し2	みゃ
し3	みゅ
し4	みょ
し5	ゎ

と6	と6
と7	.
と8	:
と9	（
と0	）

しq	ぢ
しw	め
しe	け
しr	てぃ
しt	でぃ

とy	しぇ
とu	ぺ
とi	ど
とo	や
とp	じぇ

しa	を
しs	さ
しd	お
しf	り
しg	ず

とh	び
とj	ら
とk	じ
とl	さ
と;	そ

しz	ぜ
しx	ざ
しc	ぎ
しv	ろ
しb	ぬ

とn	わ
とm	だ
と,	ぴ
と.	ぽ
と/	ちぇ

と'	とげ

# 薬指シフト（逆）--------------------------------

1l	ゃ
2l	みゃ
3l	みゅ
4l	みょ
5l	ゎ

6s	6と
7s	.
8s	:
9s	（
0s	）

ーl	ぢ
にl	め
はl	け
、l	てぃ
ちl	でぃ

ぐs	しぇ
ばs	ぺ
こs	ど
がs	や
ひs	じぇ

のl	を
とl	さ
かl	お
んl	り
っl	ず

くs	び
うs	ら
いs	じ
しs	さ
なs	そ

すl	ぜ
まl	ざ
きl	ぎ
るl	ろ
つl	ぬ

てs	わ
たs	だ
でs	ぴ
。s	ぽ
ぶs	ちぇ

げs	げと

# 中指上段シフト ---------------------------------

こ1	ゅ
こ2	びゃ
こ3	びゅ
こ4	びょ
こ5	こ5

こq	ひゅ
こw	しゅ
こe	しょ
こr	きゅ
こt	ちゅ

こa	ひょ
# こs
# こd
こf	きょ
こg	ちょ

こz	ひゃ
こx	とぅ
こc	しゃ
こv	きゃ
こb	ちゃ

# 中指上段シフト（逆）----------------------------

1i	ゅ
2i	びゃ
3i	びゅ
4i	びょ
5i	5こ

ーi	ひゅ
にi	しゅ
はi	しょ
、i	きゅ
ちi	ちゅ

のi	ひょ
# とi
# かi
んi	きょ
っi	ちょ

すi	ひゃ
まi	とぅ
きi	しゃ
るi	きゃ
つi	ちゃ

# 薬指上段シフト ---------------------------------

が1	ょ
が2	ぴゃ
が3	ぴゅ
が4	ぴょ
が5	が5

がq	りゅ
がw	じゅ
がe	じょ
がr	ぎゅ
がt	にゅ

がa	りょ
# がs
# がd
がf	ぎょ
がg	にょ

がz	りゃ
がx	どぅ
がc	じゃ
がv	ぎゃ
がb	にゃ

# 薬指上段シフト（逆）----------------------------

1o	ょ
2o	ぴゃ
3o	ぴゅ
4o	ぴょ
5o	5が

ーo	りゅ
にo	じゅ
はo	じょ
、o	ぎゅ
ちo	にゅ

のo	りょ
# とo
# かo
んo	ぎょ
っo	にょ

すo	りゃ
まo	どぅ
きo	じゃ
るo	ぎゃ
つo	にゃ

# 右小指上段シフト -------------------------------

ひq	ぴゅ
ひw	みゅ
ひe	みょ
ひr	びゅ
ひt	ぢゅ

ひa	ぴょ
# ひs
# ひd
ひf	びょ
ひg	ぢょ

ひz	ぴゃ
ひx	ひま
ひc	みゃ
ひv	びゃ
ひb	ぢゃ

# 右小指上段シフト（逆）--------------------------

ーp	ぴゅ
にp	みゅ
はp	みょ
、p	びゅ
ちp	ぢゅ

のp	ぴょ
# とp
# かp
んp	びょ
っp	ぢょ

すp	ぴゃ
まp	まひ
きp	みゃ
るp	びゃ
つp	ぢゃ

# 左小指上段シフト -------------------------------

ーy	ゃ
ーu	ぁ
# ーi
# ーo
# ーp

ーh	ゅ
ーj	ぃ
# ーk
# ーl
ー;	ーな

ーn	ょ
ーm	ぅ
ー,	ぇ
ー.	ぉ
ー/	ゎ

# 左小指上段シフト（逆）-------------------------

ぐq	ゃ
ばq	ぁ
# こq
# がq
# ひq

くq	ゅ
うq	ぃ
いq
しq
なq	なー

てq	ょ
たq	ぅ
でq	ぇ
。q	ぉ
ぶq	ゎ

# その他記号 ------------------------------------

んg	「」
くj	（）

、g	・
、f	・
ばh	／
んb	！
んv	！
うn	？

# その他記号（逆）-------------------------------

っf	「」
うh	（）

っr	・
んr	・
くu	／
つf	！
るf	！
てj	？
